"homeTeam.href","homeTeam.text","awayTeam.href","awayTeam.text","homeScore","awayScore"
"http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","http://www.basketball-reference.com/teams/PHI/2015.html","Philadelphia 76ers","104","95"
"http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","97","106"
"http://www.basketball-reference.com/teams/HOU/2015.html","Houston Rockets","http://www.basketball-reference.com/teams/POR/2015.html","Portland Trail Blazers","100","105"
"http://www.basketball-reference.com/teams/MIL/2015.html","Milwaukee Bucks","http://www.basketball-reference.com/teams/IND/2015.html","Indiana Pacers","103","109"
"http://www.basketball-reference.com/teams/NYK/2015.html","New York Knicks","http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","101","94"
"http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","http://www.basketball-reference.com/teams/SAS/2015.html","San Antonio Spurs","128","125"
"http://www.basketball-reference.com/teams/HOU/2015.html","Houston Rockets","http://www.basketball-reference.com/teams/UTA/2015.html","Utah Jazz","91","109"
"http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","http://www.basketball-reference.com/teams/WAS/2015.html","Washington Wizards","87","107"
"http://www.basketball-reference.com/teams/ORL/2015.html","Orlando Magic","http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","88","95"
"http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","91","101"
"http://www.basketball-reference.com/teams/LAC/2015.html","Los Angeles Clippers","http://www.basketball-reference.com/teams/DAL/2015.html","Dallas Mavericks","99","129"
"http://www.basketball-reference.com/teams/GSW/2015.html","Golden State Warriors","http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","103","114"
"http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","http://www.basketball-reference.com/teams/OKC/2015.html","Oklahoma City Thunder","99","113"
"http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","http://www.basketball-reference.com/teams/PHI/2015.html","Philadelphia 76ers","107","114"
"http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","96","87"
"http://www.basketball-reference.com/teams/DET/2015.html","Detroit Pistons","http://www.basketball-reference.com/teams/POR/2015.html","Portland Trail Blazers","99","118"
"http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","92","102"
"http://www.basketball-reference.com/teams/HOU/2015.html","Houston Rockets","http://www.basketball-reference.com/teams/LAC/2015.html","Los Angeles Clippers","100","98"
